iterations,fitness,time,fevals
0,18.0,0.000559871,283
10,20.0,0.001085201,460
20,19.0,0.001531125,643
30,20.0,0.001956685,827
40,19.0,0.002372741,1017
50,20.0,0.002775742,1203
60,22.0,0.003184247,1388
70,21.0,0.00363858,1575
80,21.0,0.004077012,1760
90,21.0,0.004502021,1945
100,21.0,0.004930777,2134
110,22.0,0.005338138,2312
120,21.0,0.005746891,2494
130,22.0,0.006156369,2681
140,22.0,0.011722763,2867
150,22.0,0.012142075,3057
160,22.0,0.012839433,3242
170,22.0,0.013213142,3427
180,23.0,0.013609321,3614
190,23.0,0.014015623,3800
200,23.0,0.01442749,3984
210,23.0,0.014849247,4169
220,23.0,0.015268133,4352
230,25.0,0.015680018,4542
240,25.0,0.016084563,4730
250,25.0,0.016473075,4916
260,25.0,0.016883035,5099
270,26.0,0.01728826,5284
280,26.0,0.017715677,5470
290,26.0,0.018140895,5658
300,26.0,0.018573231,5847
310,26.0,0.018984391,6030
320,26.0,0.019398449,6217
330,29.0,0.019802059,6395
340,29.0,0.020198519,6578
350,29.0,0.020610954,6763
360,29.0,0.021005823,6949
370,29.0,0.021408655,7140
380,30.0,0.021816413,7327
390,31.0,0.022218208,7510
400,31.0,0.022604291,7688
410,31.0,0.02303278,7875
420,31.0,0.023679926,8069
430,32.0,0.024167623,8259
440,32.0,0.024566332,8453
450,32.0,0.024972416,8635
460,32.0,0.02537119,8820
470,32.0,0.025772524,9010
480,32.0,0.026184261,9196
490,32.0,0.026588618,9382
500,32.0,0.02699257,9573
510,33.0,0.027390063,9761
520,33.0,0.027802242,9944
530,34.0,0.028214196,10127
540,34.0,0.028616335,10314
550,34.0,0.02901892,10497
560,34.0,0.0294043,10684
570,34.0,0.029789463,10870
580,34.0,0.030172161,11056
590,34.0,0.030621523,11241
600,34.0,0.031255428,11419
610,34.0,0.031740067,11605
620,34.0,0.032149395,11793
630,34.0,0.032553551,11981
640,34.0,0.032974407,12173
650,34.0,0.033405688,12355
660,35.0,0.033867555,12541
670,34.0,0.034311857,12726
680,34.0,0.03474201,12914
690,35.0,0.035144036,13104
700,35.0,0.035545497,13285
710,35.0,0.036234779,13469
720,34.0,0.03665027,13658
730,35.0,0.03706267,13841
740,35.0,0.037467988,14030
750,34.0,0.03800419,14216
760,34.0,0.038436672,14404
770,34.0,0.038838868,14590
780,34.0,0.039262451,14773
790,34.0,0.039692141,14965
800,34.0,0.040109669,15147
810,34.0,0.040517273,15334
820,34.0,0.040937892,15518
830,35.0,0.041351243,15702
840,35.0,0.041750337,15888
850,35.0,0.04216346,16074
860,34.0,0.042569244,16256
870,34.0,0.042983848,16434
880,34.0,0.043404215,16619
890,35.0,0.043818831,16809
900,35.0,0.044247363,16993
910,35.0,0.044677903,17180
920,36.0,0.045455523,17367
930,35.0,0.045861362,17548
940,35.0,0.04627079,17733
950,35.0,0.046687399,17919
960,35.0,0.047086636,18107
970,36.0,0.047496116,18290
980,38.0,0.047897256,18478
990,37.0,0.048321608,18664
1000,37.0,0.048738551,18855
1010,37.0,0.049129292,19045
1020,37.0,0.049525977,19227
1030,38.0,0.049922265,19418
1040,38.0,0.050310845,19601
1050,37.0,0.050694517,19783
1060,38.0,0.051069238,19973
1070,37.0,0.051546815,20158
1080,37.0,0.051926767,20344
1090,38.0,0.052313466,20531
1100,38.0,0.052704672,20722
1110,38.0,0.053082728,20907
1120,38.0,0.053529251,21094
1130,38.0,0.053934505,21278
1140,38.0,0.054325778,21467
1150,38.0,0.05473042,21651
1160,38.0,0.055130065,21832
1170,38.0,0.055548904,22017
1180,38.0,0.055977788,22201
1190,38.0,0.056378313,22389
1200,38.0,0.05677622,22573
1210,39.0,0.057243135,22755
1220,39.0,0.057689842,22944
1230,39.0,0.05830658,23134
1240,39.0,0.058869068,23321
1250,39.0,0.059677572,23510
1260,39.0,0.060059839,23698
1270,39.0,0.060470915,23888
1280,39.0,0.060878039,24074
1290,39.0,0.061289538,24261
1300,38.0,0.061693803,24442
1310,39.0,0.062098523,24631
1320,39.0,0.062508862,24819
1330,40.0,0.062913982,25001
1340,39.0,0.063328684,25186
1350,39.0,0.063754139,25373
1360,39.0,0.06417438,25554
1370,38.0,0.06458277,25740
1380,38.0,0.065000491,25928
1390,39.0,0.065835067,26111
1400,39.0,0.06625796,26299
1410,39.0,0.066654436,26489
1420,39.0,0.067058718,26679
1430,38.0,0.067468423,26859
1440,38.0,0.067868107,27046
1450,38.0,0.068287404,27231
1460,39.0,0.068691022,27416
1470,38.0,0.069093329,27608
1480,39.0,0.06950688,27800
1490,39.0,0.069935645,27977
1500,39.0,0.070356141,28163
1510,39.0,0.070777942,28347
1520,39.0,0.071163077,28538
1530,40.0,0.071576662,28722
1540,39.0,0.071999304,28909
1550,39.0,0.072494022,29100
1560,39.0,0.072913409,29287
1570,39.0,0.073331514,29479
1580,40.0,0.073734481,29661
1590,40.0,0.074136974,29845
1600,40.0,0.074550506,30035
1610,40.0,0.075021538,30219
1620,39.0,0.075431082,30410
1630,39.0,0.075839089,30595
1640,39.0,0.07626124,30785
1650,39.0,0.076669285,30973
1660,39.0,0.077069135,31153
1670,40.0,0.077471037,31339
1680,40.0,0.077876728,31531
1690,40.0,0.078295877,31716
1700,39.0,0.07870826,31903
1710,40.0,0.079112367,32085
1720,40.0,0.079519696,32272
1730,40.0,0.07992822,32459
1740,40.0,0.0803423,32643
1750,40.0,0.080777838,32828
1760,40.0,0.081212371,33013
1770,40.0,0.081630653,33202
1780,40.0,0.082025678,33388
1790,40.0,0.082435176,33578
1800,40.0,0.083275461,33772
1810,40.0,0.083669642,33963
1820,40.0,0.084065803,34141
1830,40.0,0.084480639,34328
1840,40.0,0.084904296,34524
1850,41.0,0.085280671,34711
1860,40.0,0.085707894,34900
1870,41.0,0.086223685,35089
1880,41.0,0.08688858,35275
1890,41.0,0.087296029,35461
1900,41.0,0.087720649,35645
1910,41.0,0.088128263,35834
1920,41.0,0.088537868,36014
1930,41.0,0.088948019,36198
1940,41.0,0.089366585,36386
1950,40.0,0.089773295,36572
1960,40.0,0.090203323,36758
1970,40.0,0.090601194,36951
1980,40.0,0.09100779,37138
1990,41.0,0.091419042,37325
2000,41.0,0.091825707,37509
2010,41.0,0.092231709,37699
2020,41.0,0.092640094,37889
2030,40.0,0.093081539,38075
2040,40.0,0.093468727,38258
