iterations,fitness,time,fevals
0,35.0,0.107261341,1000
10,44.0,0.198521936,2100
20,42.0,0.282016416,3200
30,41.0,0.365127051,4300
40,40.0,0.440235927,5400
50,41.0,0.51597827,6500
60,41.0,0.594907222,7600
70,46.0,0.674320264,8700
80,43.0,0.75613655,9800
90,48.0,0.831270013,10900
100,42.0,0.906971595,12000
110,42.0,0.987004749,13100
120,43.0,1.061115987,14200
130,41.0,1.13452698,15300
140,48.0,1.20654205,16400
150,42.0,1.280350455,17500
160,42.0,1.35595898,18600
170,48.0,1.434240568,19700
180,43.0,1.508996241,20800
190,48.0,1.58193203,21900
200,44.0,1.652194147,23000
210,49.0,1.728504749,24100
220,42.0,1.805241247,25200
230,43.0,1.880441557,26300
240,42.0,1.953651922,27400
250,42.0,2.02862746,28500
260,42.0,2.103506546,29600
270,49.0,2.183790038,30700
280,49.0,2.256697604,31800
290,41.0,2.331910277,32900
300,48.0,2.409025054,34000
310,49.0,2.483201587,35100
320,46.0,2.558529989,36200
330,44.0,2.632051351,37300
340,42.0,2.705952044,38400
350,48.0,2.778720327,39500
360,48.0,2.852727234,40600
370,48.0,2.922390148,41700
380,41.0,2.994697059,42800
390,48.0,3.068709409,43900
400,48.0,3.14026591,45000
410,49.0,3.214752904,46100
420,46.0,3.290254094,47200
430,46.0,3.370385633,48300
440,47.0,3.444656869,49400
450,49.0,3.523144797,50500
460,48.0,3.604320188,51600
470,52.0,3.682069331,52700
480,49.0,3.760393406,53800
490,47.0,3.833820694,54900
500,46.0,3.908442824,56000
510,49.0,3.978566814,57100
520,49.0,4.054599687,58200
530,47.0,4.1283539,59300
540,48.0,4.201617445,60400
550,47.0,4.272645623,61500
560,46.0,4.344871732,62600
570,47.0,4.421519996,63700
580,48.0,4.491357734,64800
590,50.0,4.562500096,65900
600,48.0,4.638020044,67000
610,48.0,4.7079847,68100
620,49.0,4.779614749,69200
630,50.0,4.851338024,70300
640,49.0,4.922778379,71400
650,47.0,4.997733515,72500
660,50.0,5.074391799,73600
670,48.0,5.14664528,74700
680,49.0,5.224878451,75800
690,50.0,5.299246985,76900
700,49.0,5.373221586,78000
710,48.0,5.442725223,79100
720,50.0,5.514063975,80200
730,48.0,5.597131436,81300
740,49.0,5.67415954,82400
750,48.0,5.74591432,83500
760,48.0,5.822178217,84600
770,49.0,5.903716252,85700
780,48.0,5.980742468,86800
790,49.0,6.056008698,87900
800,49.0,6.130242236,89000
810,47.0,6.201158971,90100
820,52.0,6.274749667,91200
830,49.0,6.356531856,92300
840,49.0,6.435147089,93400
850,50.0,6.506209666,94500
860,50.0,6.581016856,95600
870,50.0,6.654755664,96700
880,49.0,6.725239055,97800
890,49.0,6.795252445,98900
900,50.0,6.865563033,100000
910,49.0,6.936228989,101100
920,49.0,7.00692944,102200
930,50.0,7.083734573,103300
940,52.0,7.156840783,104400
950,49.0,7.225265175,105500
960,52.0,7.295493198,106600
970,50.0,7.36616328,107700
980,50.0,7.433568654,108800
990,50.0,7.511406907,109900
1000,52.0,7.589017284,111000
1010,50.0,7.668763029,112100
1020,52.0,7.741985132,113200
1030,50.0,7.816186575,114300
