iterations,fitness,time,fevals
0,16.0,3.1756e-05,11
10,16.0,6.0256e-05,21
20,16.0,8.48179999999e-05,31
30,16.0,0.000107913,41
40,16.0,0.000130234,51
50,16.0,0.000152403,61
60,16.0,0.000175289,71
70,16.0,0.000197039,81
80,16.0,0.000215402,91
90,16.0,0.000236255,101
100,16.0,0.000257884,111
110,16.0,0.000280254,121
120,16.0,0.000302421,131
130,17.0,0.000329701,141
140,17.0,0.000390892,151
150,17.0,0.000420332,161
160,17.0,0.000444577,171
170,17.0,0.000474672,181
180,17.0,0.000503109,191
190,18.0,0.000528123,201
200,18.0,0.000595001,211
210,19.0,0.000677972,221
220,19.0,0.000707495,231
230,22.0,0.00073387,241
240,22.0,0.000762929,251
250,24.0,0.000789755,261
260,24.0,0.000816592,271
270,24.0,0.000841461,281
280,25.0,0.00086539,291
290,25.0,0.000890461,301
300,25.0,0.000915939000001,311
310,25.0,0.000941135000001,321
320,25.0,0.000966829000001,331
330,25.0,0.000993310000001,341
340,25.0,0.001019544,351
350,25.0,0.001082318,361
360,25.0,0.001128244,371
370,27.0,0.001170374,381
380,27.0,0.00120408,391
390,27.0,0.001241046,401
400,27.0,0.001283702,411
410,27.0,0.001346333,421
420,27.0,0.001376177,431
430,27.0,0.001415883,441
440,27.0,0.001455778,451
450,27.0,0.001489457,461
460,27.0,0.001556051,471
470,27.0,0.001618467,481
480,27.0,0.001660453,491
490,28.0,0.001696441,501
500,28.0,0.001732042,511
510,28.0,0.001806401,521
520,29.0,0.001876489,531
530,29.0,0.001936567,541
540,29.0,0.002001732,551
550,29.0,0.00206382,561
560,29.0,0.00216574,571
570,29.0,0.002195852,581
580,29.0,0.002225703,591
590,29.0,0.002259493,601
600,29.0,0.002338012,611
610,29.0,0.002372996,621
620,29.0,0.002457184,631
630,29.0,0.002489811,641
640,29.0,0.002518144,651
650,29.0,0.002543947,661
660,29.0,0.002568543,671
670,29.0,0.002590197,681
680,29.0,0.002616632,691
690,29.0,0.002640414,701
700,29.0,0.002672371,711
710,29.0,0.002707237,721
720,29.0,0.002732901,731
730,29.0,0.002762762,741
740,29.0,0.00280876,751
750,29.0,0.002882769,761
760,29.0,0.002912533,771
770,29.0,0.002937496,781
780,29.0,0.002969522,791
790,30.0,0.002997077,801
800,30.0,0.003028918,811
810,30.0,0.003074742,821
820,30.0,0.003110893,831
830,30.0,0.003169244,841
840,30.0,0.003198857,851
850,30.0,0.003231776,861
860,30.0,0.003262238,871
870,30.0,0.003289038,881
880,30.0,0.003315258,891
890,30.0,0.003340829,901
900,30.0,0.003366394,911
910,30.0,0.003394426,921
920,30.0,0.003445542,931
930,30.0,0.003477041,941
940,30.0,0.00355098,951
950,32.0,0.003591635,961
960,32.0,0.00363868,971
970,32.0,0.003667995,981
980,33.0,0.003710808,991
990,33.0,0.003744201,1001
1000,33.0,0.003774208,1011
1010,34.0,0.003811885,1021
1020,34.0,0.003841528,1031
1030,34.0,0.00386984,1041
1040,34.0,0.003898951,1051
1050,34.0,0.003933299,1061
1060,34.0,0.00400937,1071
1070,34.0,0.004034367,1081
1080,39.0,0.004066575,1091
1090,39.0,0.004091169,1101
1100,39.0,0.004117951,1111
1110,39.0,0.004150082,1121
1120,39.0,0.004180719,1131
1130,39.0,0.004208409,1141
1140,39.0,0.004237053,1151
1150,39.0,0.004264421,1161
1160,39.0,0.004339542,1171
1170,39.0,0.004415427,1181
1180,39.0,0.004485135,1191
1190,39.0,0.004550674,1201
1200,39.0,0.004613675,1211
1210,39.0,0.004680807,1221
1220,39.0,0.004705245,1231
1230,39.0,0.004759601,1241
1240,39.0,0.004789218,1251
1250,39.0,0.004819053,1261
1260,39.0,0.004842965,1271
1270,39.0,0.004872829,1281
1280,39.0,0.004903027,1291
1290,39.0,0.004975037,1301
1300,39.0,0.005007376,1311
1310,39.0,0.005035311,1321
1320,39.0,0.00506559,1331
1330,39.0,0.005139363,1341
1340,39.0,0.005166357,1351
1350,39.0,0.005200865,1361
1360,39.0,0.005597602,1371
1370,39.0,0.005637979,1381
1380,39.0,0.005707963,1391
1390,39.0,0.005747753,1401
1400,39.0,0.005784951,1411
1410,39.0,0.005824982,1421
1420,39.0,0.005856975,1431
1430,39.0,0.005886399,1441
1440,39.0,0.005912343,1451
1450,39.0,0.005937939,1461
1460,39.0,0.005967594,1471
1470,39.0,0.005995603,1481
1480,39.0,0.00602315,1491
1490,39.0,0.006054179,1501
1500,39.0,0.006084397,1511
1510,39.0,0.006112458,1521
1520,39.0,0.00614507,1531
1530,39.0,0.006172361,1541
1540,39.0,0.006207923,1551
1550,39.0,0.006238748,1561
1560,39.0,0.006267722,1571
1570,39.0,0.006304926,1581
1580,39.0,0.006334251,1591
1590,39.0,0.00636202,1601
1600,39.0,0.006387425,1611
1610,39.0,0.006718769,1621
1620,39.0,0.00715534,1631
1630,39.0,0.007579092,1641
1640,39.0,0.007995754,1651
1650,39.0,0.008825726,1661
1660,39.0,0.008854487,1671
1670,39.0,0.00889496,1681
1680,39.0,0.009324906,1691
1690,39.0,0.009413812,1701
1700,39.0,0.009444983,1711
1710,39.0,0.009472708,1721
1720,39.0,0.009534622,1731
1730,39.0,0.009561564,1741
1740,39.0,0.009598493,1751
1750,39.0,0.012982228,1761
1760,39.0,0.013021092,1771
1770,39.0,0.013062264,1781
1780,39.0,0.013099556,1791
1790,39.0,0.013130314,1801
1800,39.0,0.013201848,1811
1810,39.0,0.013595299,1821
1820,39.0,0.014035804,1831
1830,39.0,0.014102554,1841
1840,39.0,0.014133567,1851
1850,39.0,0.014208561,1861
1860,39.0,0.014236807,1871
1870,39.0,0.014267132,1881
1880,39.0,0.014296928,1891
1890,39.0,0.01436906,1901
1900,39.0,0.014404381,1911
1910,39.0,0.014474213,1921
1920,39.0,0.014540616,1931
1930,39.0,0.014568379,1941
1940,39.0,0.014610001,1951
1950,39.0,0.014742372,1961
1960,39.0,0.014773066,1971
1970,39.0,0.0148012,1981
1980,39.0,0.014829103,1991
1990,40.0,0.014860702,2001
2000,44.0,0.014889996,2011
2010,44.0,0.014919529,2021
2020,44.0,0.014947018,2031
2030,44.0,0.014973217,2041
2040,44.0,0.015001741,2051
2050,44.0,0.015026965,2061
2060,44.0,0.015060971,2071
2070,44.0,0.015087902,2081
2080,44.0,0.015114959,2091
2090,44.0,0.015151266,2101
2100,44.0,0.015186708,2111
2110,44.0,0.015217813,2121
2120,44.0,0.015250464,2131
2130,44.0,0.015289503,2141
2140,44.0,0.015321821,2151
2150,44.0,0.015356648,2161
2160,45.0,0.015388334,2171
2170,45.0,0.015421221,2181
2180,45.0,0.015536122,2191
2190,45.0,0.015564288,2201
2200,45.0,0.01558928,2211
2210,45.0,0.015614497,2221
2220,46.0,0.015644638,2231
2230,46.0,0.01566929,2241
2240,46.0,0.015692995,2251
2250,47.0,0.01571795,2261
2260,48.0,0.015743516,2271
2270,48.0,0.015768186,2281
2280,48.0,0.015792548,2291
2290,48.0,0.01581582,2301
2300,48.0,0.015836837,2311
2310,48.0,0.015888619,2321
2320,49.0,0.015915393,2331
2330,49.0,0.015942019,2341
2340,49.0,0.016102453,2351
2350,56.0,0.016128866,2361
2360,56.0,0.016153363,2371
2370,56.0,0.016179887,2381
2380,56.0,0.016203532,2391
2390,56.0,0.016230083,2401
2400,56.0,0.016256045,2411
2410,56.0,0.016279047,2421
2420,56.0,0.016302437,2431
2430,56.0,0.016337406,2441
2440,56.0,0.016366873,2451
2450,56.0,0.016433242,2461
2460,56.0,0.016495368,2471
2470,56.0,0.016557538,2481
2480,56.0,0.016619475,2491
2490,56.0,0.016680929,2501
2500,56.0,0.016746504,2511
2510,57.0,0.016813301,2521
2520,59.0,0.01686658,2531
2530,59.0,0.016890601,2541
2540,59.0,0.01692567,2551
2550,59.0,0.016955856,2561
2560,59.0,0.016980843,2571
2570,59.0,0.017000965,2581
2580,59.0,0.017020758,2591
2590,59.0,0.01705239,2601
2600,59.0,0.017075158,2611
2610,59.0,0.017116921,2621
2620,59.0,0.017137178,2631
2630,59.0,0.017169029,2641
2640,59.0,0.017209238,2651
2650,59.0,0.017266921,2661
2660,59.0,0.01729181,2671
