iterations,fitness,time,fevals
0,12.0,2.41700000001e-05,11
10,15.0,5.39170000002e-05,21
20,14.0,8.23690000002e-05,31
30,13.0,0.000112252,41
40,14.0,0.000145065,51
50,15.0,0.000202184,61
60,16.0,0.000227113,71
70,16.0,0.000285778,81
80,16.0,0.000351646,91
90,16.0,0.000420008,101
100,17.0,0.000477117,111
110,17.0,0.000501411,121
120,18.0,0.000555781,131
130,18.0,0.000600781,141
140,18.0,0.00061618,151
150,19.0,0.000638304,161
160,19.0,0.000660604,171
170,19.0,0.000687378,181
180,19.0,0.000711443,191
190,19.0,0.000734709,201
200,19.0,0.000754156999999,211
210,20.0,0.000775186999999,221
220,20.0,0.000794995999999,231
230,20.0,0.000820753,241
240,20.0,0.000846127,251
250,20.0,0.000866845,261
260,20.0,0.000934977,271
270,20.0,0.003193536,281
280,20.0,0.003313554,291
290,20.0,0.003338518,301
300,20.0,0.003364166,311
310,20.0,0.003425695,321
320,20.0,0.003450969,331
330,20.0,0.003501278,341
340,20.0,0.003565155,351
350,20.0,0.003617998,361
360,20.0,0.003644614,371
370,20.0,0.003668987,381
380,20.0,0.003750374,391
390,21.0,0.003778553,401
400,22.0,0.003811404,411
410,22.0,0.003838923,421
420,22.0,0.003869777,431
430,22.0,0.003946223,441
440,22.0,0.00433654,451
450,22.0,0.004375645,461
460,22.0,0.00451149,471
470,22.0,0.004539036,481
480,22.0,0.004577883,491
490,22.0,0.004611433,501
500,22.0,0.004635837,511
510,22.0,0.004660263,521
520,22.0,0.004695705,531
530,23.0,0.00472687,541
540,23.0,0.004753341,551
550,23.0,0.00477594,561
560,24.0,0.004840894,571
570,24.0,0.00495871,581
580,24.0,0.00534778,591
590,24.0,0.005373477,601
600,24.0,0.005451011,611
610,24.0,0.005507045,621
620,24.0,0.005541563,631
630,24.0,0.00556935,641
640,24.0,0.005598572,651
650,24.0,0.005970498,661
660,24.0,0.006033568,671
670,24.0,0.006050949,681
680,24.0,0.006070055,691
690,25.0,0.006093552,701
700,26.0,0.006109943,711
710,26.0,0.006144318,721
720,26.0,0.006177075,731
730,26.0,0.006204419,741
740,26.0,0.006228341,751
750,26.0,0.006252717,761
760,27.0,0.006274477,771
770,27.0,0.00629665,781
780,27.0,0.006312185,791
790,27.0,0.006335518,801
800,27.0,0.006358002,811
810,27.0,0.006381971,821
820,27.0,0.006400654,831
830,27.0,0.006423716,841
840,27.0,0.006446018,851
850,27.0,0.006513275,861
860,27.0,0.006544148,871
870,27.0,0.006574285,881
880,27.0,0.006611463,891
890,27.0,0.006646531,901
900,27.0,0.006689401,911
910,28.0,0.006715092,921
920,28.0,0.006740591,931
930,30.0,0.006763199,941
940,30.0,0.006785164,951
950,30.0,0.006807182,961
960,30.0,0.006830488,971
970,31.0,0.006854322,981
980,31.0,0.006883939,991
990,32.0,0.006907784,1001
1000,33.0,0.006969579,1011
1010,33.0,0.007025633,1021
1020,33.0,0.007082663,1031
1030,33.0,0.007287731,1041
1040,33.0,0.007370964,1051
1050,34.0,0.007431214,1061
1060,35.0,0.007453387,1071
1070,35.0,0.00751775,1081
1080,35.0,0.007540786,1091
1090,35.0,0.007561034,1101
1100,35.0,0.007586423,1111
1110,35.0,0.007612227,1121
1120,35.0,0.0076404,1131
1130,35.0,0.007665308,1141
1140,35.0,0.007776114,1151
1150,35.0,0.008169325,1161
1160,35.0,0.008263759,1171
1170,35.0,0.00829064,1181
1180,35.0,0.008312412,1191
1190,35.0,0.008338034,1201
1200,37.0,0.00835933,1211
1210,37.0,0.008408881,1221
1220,39.0,0.008438477,1231
1230,39.0,0.008507852,1241
1240,39.0,0.008533581,1251
1250,39.0,0.008557126,1261
1260,39.0,0.008581923,1271
1270,39.0,0.008604384,1281
1280,39.0,0.008629338,1291
1290,39.0,0.00865459,1301
1300,39.0,0.008677384,1311
1310,39.0,0.008740782,1321
1320,39.0,0.00876653,1331
1330,39.0,0.008839197,1341
1340,39.0,0.008906085,1351
1350,39.0,0.00926453,1361
1360,39.0,0.009632898,1371
1370,40.0,0.009695784,1381
1380,40.0,0.01005263,1391
1390,40.0,0.010418277,1401
1400,41.0,0.010587842,1411
1410,41.0,0.010656432,1421
1420,41.0,0.01106595,1431
1430,41.0,0.01115409,1441
1440,41.0,0.01149341,1451
1450,42.0,0.011516028,1461
1460,42.0,0.011590035,1471
1470,42.0,0.011937604,1481
1480,43.0,0.012079937,1491
1490,43.0,0.012535279,1501
1500,48.0,0.012556942,1511
1510,48.0,0.01260351,1521
1520,48.0,0.012624059,1531
1530,48.0,0.012686071,1541
1540,48.0,0.012708063,1551
1550,48.0,0.012728671,1561
1560,48.0,0.012782384,1571
1570,48.0,0.012822434,1581
1580,48.0,0.012851828,1591
1590,48.0,0.012917288,1601
1600,48.0,0.012978744,1611
1610,48.0,0.013054302,1621
1620,48.0,0.013080151,1631
1630,48.0,0.013104025,1641
1640,48.0,0.013171529,1651
1650,48.0,0.013547867,1661
1660,48.0,0.013572689,1671
1670,48.0,0.013596127,1681
1680,48.0,0.013619309,1691
1690,48.0,0.013685785,1701
1700,48.0,0.013750346,1711
1710,48.0,0.017087989,1721
1720,48.0,0.017357423,1731
1730,48.0,0.017382317,1741
1740,48.0,0.017405793,1751
1750,48.0,0.017428049,1761
1760,48.0,0.017451259,1771
1770,48.0,0.017474317,1781
1780,51.0,0.017496216,1791
1790,51.0,0.017515913,1801
1800,51.0,0.017535932,1811
1810,56.0,0.017554617,1821
1820,56.0,0.017574559,1831
1830,56.0,0.017595266,1841
1840,56.0,0.017616193,1851
1850,56.0,0.017635439,1861
1860,56.0,0.017656861,1871
1870,56.0,0.017678931,1881
1880,56.0,0.017699479,1891
1890,56.0,0.017722805,1901
1900,56.0,0.017743571,1911
1910,56.0,0.017763976,1921
1920,56.0,0.017780893,1931
1930,56.0,0.01783451,1941
1940,56.0,0.017990421,1951
1950,56.0,0.018012297,1961
1960,56.0,0.018032231,1971
1970,56.0,0.018050405,1981
1980,56.0,0.018071385,1991
1990,56.0,0.018093098,2001
2000,56.0,0.018120444,2011
2010,57.0,0.018141477,2021
2020,57.0,0.018160669,2031
2030,58.0,0.018179214,2041
2040,58.0,0.01820077,2051
2050,58.0,0.018221705,2061
2060,58.0,0.018244094,2071
2070,58.0,0.018264756,2081
2080,61.0,0.01829025,2091
2090,61.0,0.018315027,2101
2100,61.0,0.018336259,2111
2110,61.0,0.018399831,2121
2120,62.0,0.018467547,2131
2130,62.0,0.018504773,2141
2140,63.0,0.018531449,2151
