iterations,fitness,time,fevals
0,527.0,0.006627697,797
10,543.0,0.011758968,1493
20,545.0,0.016352129,2177
30,557.0,0.023052509,2883
40,546.0,0.027347895,3581
50,544.0,0.031707083,4285
60,550.0,0.035385633,4982
70,550.0,0.039807276,5685
80,556.0,0.044575163,6384
90,554.0,0.048376346,7077
100,556.0,0.051518275,7775
110,556.0,0.05500799,8474
120,560.0,0.058606598,9170
130,560.0,0.061759578,9859
140,558.0,0.066040652,10551
150,562.0,0.071082352,11244
160,560.0,0.076010234,11931
170,560.0,0.079412999,12634
180,562.0,0.083291,13339
190,558.0,0.087083636,14028
200,570.0,0.097293345,14718
210,559.0,0.10605522,15422
220,564.0,0.125784817,16119
230,562.0,0.132787269,16824
240,566.0,0.138099005,17508
250,568.0,0.141718971,18209
260,567.0,0.147024936,18897
270,559.0,0.150998856,19591
280,559.0,0.154636532,20287
290,555.0,0.17179633,20997
300,558.0,0.180427434,21706
310,553.0,0.189351159,22390
320,555.0,0.19455098,23091
330,553.0,0.20218371,23772
340,553.0,0.206900707,24466
350,553.0,0.211122829,25180
360,553.0,0.215698292,25867
370,557.0,0.219882165,26574
380,555.0,0.22380951,27273
390,555.0,0.227611917,27961
400,551.0,0.233743242,28654
410,549.0,0.240112795,29363
420,547.0,0.243345085,30061
430,553.0,0.249889968,30772
440,545.0,0.254854333,31468
450,545.0,0.260182007,32164
460,549.0,0.264371049,32857
470,553.0,0.268617423,33549
480,543.0,0.274036057,34250
490,546.0,0.280349667,34949
500,540.0,0.285214253,35646
510,547.0,0.290541728,36342
520,551.0,0.297116334,37062
530,547.0,0.300864721,37772
540,551.0,0.306883225,38463
550,553.0,0.313973843,39149
560,553.0,0.320301046,39846
570,553.0,0.326873055,40534
580,557.0,0.331501161,41215
590,557.0,0.339399266,41904
600,555.0,0.349523653,42611
610,555.0,0.355265404,43302
620,557.0,0.360442547,44000
630,555.0,0.363989738,44703
640,563.0,0.373954447,45403
650,563.0,0.37867849,46104
660,565.0,0.384352126,46800
670,569.0,0.390360735,47487
680,565.0,0.396777611,48188
690,565.0,0.407507287,48877
700,565.0,0.420779754,49579
710,565.0,0.431036659,50280
720,559.0,0.436626921,50978
730,553.0,0.4421485,51675
740,553.0,0.448607946,52390
750,557.0,0.454379607,53074
760,561.0,0.459349224,53777
770,553.0,0.4628059,54483
780,561.0,0.466602894,55190
790,561.0,0.47156247,55890
800,561.0,0.474816807,56593
810,563.0,0.479852662,57294
820,565.0,0.48516416,57987
830,561.0,0.490079339,58694
840,563.0,0.494146975,59372
850,565.0,0.497635764,60083
860,559.0,0.50104898,60774
870,561.0,0.505648035,61473
880,559.0,0.510137893,62171
890,553.0,0.513670626,62865
900,555.0,0.517538169,63567
910,565.0,0.522898002,64261
920,561.0,0.526326655,64950
930,561.0,0.529887387,65639
940,555.0,0.534776112,66338
950,559.0,0.539653249,67033
960,564.0,0.543243535,67712
