iterations,fitness,time,fevals
0,547.0,12.088423079,1000
10,582.0,23.908800907,2100
20,599.0,35.633533216,3200
30,633.0,47.455916486,4300
40,657.0,58.526522436,5400
50,682.0,69.313764021,6500
60,691.0,79.632386205,7600
70,711.0,89.802597593,8700
80,731.0,99.809086123,9800
90,730.0,109.592378971,10900
100,743.0,119.943381676,12000
110,753.0,129.582586703,13100
120,765.0,139.442502252,14200
130,773.0,148.796554146,15300
140,775.0,158.443176861,16400
150,763.0,167.922057635,17500
160,771.0,177.330311089,18600
170,773.0,186.723719631,19700
180,791.0,196.62613712,20800
190,785.0,206.330373633,21900
200,779.0,216.121097835,23000
210,763.0,225.58384102,24100
220,779.0,234.827744645,25200
230,784.0,244.359495896,26300
240,783.0,253.879628491,27400
250,781.0,263.231766551,28500
260,789.0,272.478513188,29600
270,777.0,282.230995792,30700
280,773.0,291.71021456,31800
290,787.0,301.120571769,32900
300,783.0,310.577062075,34000
310,783.0,319.987970322,35100
320,781.0,329.530820291,36200
330,783.0,338.912683557,37300
340,783.0,348.531804248,38400
350,789.0,358.000871717,39500
360,785.0,367.536482808,40600
370,791.0,376.940876488,41700
380,789.0,386.499787029,42800
390,795.0,395.976594916,43900
400,795.0,405.378126155,45000
410,798.0,414.776209434,46100
420,795.0,424.261394084,47200
430,790.0,433.682710546,48300
440,797.0,443.019781535,49400
450,789.0,452.500144581,50500
460,785.0,461.977147155,51600
470,797.0,471.788102923,52700
480,801.0,481.146809595,53800
490,787.0,490.470658941,54900
500,797.0,499.878438963,56000
510,793.0,509.253785728,57100
520,795.0,518.336162965,58200
530,789.0,527.666029467,59300
540,781.0,537.05722989,60400
550,801.0,546.180362025,61500
560,783.0,555.911053288,62600
570,791.0,565.186798111,63700
580,789.0,574.489959343,64800
590,802.0,583.894689326,65900
600,791.0,593.171146951,67000
610,789.0,602.330303415,68100
620,803.0,611.710889881,69200
630,795.0,621.10807518,70300
640,787.0,631.26373102,71400
650,787.0,640.688719785,72500
660,779.0,650.156971112,73600
670,801.0,659.730162404,74700
680,791.0,668.900767613,75800
690,795.0,678.262314934,76900
700,807.0,687.626012329,78000
710,795.0,697.029964353,79100
720,798.0,706.64320376,80200
730,809.0,716.01956216,81300
740,801.0,725.196676503,82400
750,809.0,734.500252456,83500
