iterations,fitness,time,fevals
0,516.0,6.19240000002e-05,11
10,520.0,0.000127872,21
20,520.0,0.000190089,31
30,520.0,0.000247064,41
40,524.0,0.000318604,51
50,530.0,0.000383189,61
60,536.0,0.000441821,71
70,536.0,0.000504845,81
80,538.0,0.000560363,91
90,540.0,0.000637053,101
100,542.0,0.0007025,111
110,544.0,0.000904914,121
120,548.0,0.000990578,131
130,550.0,0.001070998,141
140,552.0,0.001135959,151
150,558.0,0.001200927,161
160,558.0,0.001262511,171
170,560.0,0.001324384,181
180,566.0,0.001395085,191
190,566.0,0.001450186,201
200,568.0,0.0015052,211
210,568.0,0.001560541,221
220,572.0,0.001619053,231
230,574.0,0.001814827,241
240,574.0,0.001877886,251
250,580.0,0.001949767,261
260,584.0,0.001996522,271
270,586.0,0.002066059,281
280,586.0,0.002134474,291
290,588.0,0.002190888,301
300,590.0,0.002246084,311
310,592.0,0.002347181,321
320,592.0,0.002417019,331
330,592.0,0.00247179,341
340,592.0,0.00257202,351
350,592.0,0.002772774,361
360,592.0,0.002834316,371
370,592.0,0.00288791,381
380,592.0,0.002944146,391
390,594.0,0.003002807,401
400,594.0,0.003061126,411
410,596.0,0.003122729,421
420,596.0,0.003211384,431
430,598.0,0.003277478,441
440,600.0,0.003336255,451
450,600.0,0.003395062,461
460,600.0,0.003458734,471
470,602.0,0.003517643,481
480,604.0,0.003574822,491
490,606.0,0.003630343,501
500,608.0,0.003685364,511
510,608.0,0.003754058,521
520,612.0,0.003810799,531
530,616.0,0.00387355,541
540,620.0,0.003929071,551
550,622.0,0.003982292,561
560,624.0,0.004039427,571
570,624.0,0.004097629,581
580,624.0,0.00415174,591
590,626.0,0.004203872,601
600,630.0,0.004252984,611
610,630.0,0.004484259,621
620,630.0,0.004541958,631
630,630.0,0.004597876,641
640,630.0,0.004651619,651
650,634.0,0.004706966,661
660,634.0,0.004760294,671
670,638.0,0.004854763,681
680,640.0,0.004914034,691
690,640.0,0.004968754,701
700,640.0,0.005023155,711
710,642.0,0.005088058,721
720,642.0,0.00514748,731
730,646.0,0.005204942,741
740,646.0,0.005262156,751
750,648.0,0.005322248,761
760,650.0,0.005376091,771
770,650.0,0.005430856,781
780,652.0,0.005485475,791
790,652.0,0.00553897,801
800,652.0,0.005592475,811
