iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.226769702593,0.22724828947,0.224635620179,0.464813393929,0.46443185395,0.468681145735,0.38467280418,0.380822416303,0.384570511886,126.881475316
10,0.189282746496,0.186749720172,0.187293919306,0.559109956914,0.565313188543,0.565564998426,0.663088580191,0.670523678874,0.668013662385,1009.77117922
20,0.157077511311,0.156191060964,0.153658748389,0.625331995514,0.626613157066,0.632483474976,0.668315452139,0.668297797973,0.67634992793,1936.92551313
30,0.181724750574,0.180863516456,0.180849542396,0.599559306695,0.603714195782,0.600881334592,0.741201302004,0.744209670866,0.742360208062,2851.2958069
40,0.163877469239,0.162443915199,0.161874196931,0.62820437152,0.631098520617,0.631916902738,0.693830600739,0.698015975264,0.696842432727,3686.36067695
50,0.15610958405,0.15463392735,0.154071964153,0.63001436188,0.63432483475,0.634057286749,0.689598257023,0.695498329074,0.693067215798,4532.11947146
60,0.159636756827,0.158149231366,0.160030031732,0.617423124594,0.622285174693,0.615864022663,0.675423955134,0.681063122924,0.673968796751,5355.33350432
70,0.156376285777,0.154228925222,0.155388433021,0.631017726101,0.637000314762,0.63204280768,0.711909187263,0.717634816674,0.713690913544,6197.675658
80,0.14701739884,0.146277373971,0.145594393016,0.668712742726,0.671073339629,0.672143531634,0.755917610054,0.758437355525,0.758508763795,7053.33540317
90,0.148631030462,0.147430273088,0.147236960537,0.653918038915,0.656358199559,0.656342461442,0.728269768448,0.730448737732,0.729872828938,7820.50323678
100,0.148718815803,0.147850982234,0.1476435685,0.649196324933,0.651322001889,0.650487881649,0.7151642945,0.717968302463,0.715252846446,8594.72290796
110,0.139098783948,0.138762286986,0.137447697992,0.669952192646,0.672804532578,0.671010387158,0.745022342463,0.747264770241,0.746875908166,9339.42873135
120,0.137915573055,0.136613359105,0.13590527022,0.670798166401,0.673434057287,0.675039345294,0.728611512075,0.731008555872,0.732705053853,10101.7083724
130,0.142876614111,0.142037962204,0.142090375973,0.672686851994,0.67437834435,0.673402581051,0.764924476849,0.766135413134,0.765842209785,10885.2674488
140,0.13731686992,0.137146701174,0.136143361133,0.675283794684,0.676030846711,0.678816493547,0.758207468393,0.758462892344,0.761119955052,11712.3178115
150,0.131588660955,0.130610595815,0.129718882947,0.686792972516,0.689565627951,0.690210890777,0.748029502073,0.750521722633,0.751351624476,12472.1164226
160,0.135077960288,0.134392964316,0.133735642445,0.685514174979,0.68681145735,0.689266603714,0.757063177252,0.758201701094,0.760783173403,13248.2164546
170,0.152901228209,0.15073079027,0.150334224267,0.638847901788,0.640856153604,0.642933585143,0.687641443618,0.690366350068,0.691973498425,14048.4520884
180,0.132037495635,0.131512902272,0.130115149496,0.686458517775,0.688857412653,0.692666037142,0.751833569504,0.753706241435,0.757452305246,14831.4996029
190,0.129390047486,0.128281442684,0.127979407684,0.697987369415,0.700188857413,0.70034623859,0.772230217962,0.773564721265,0.774557165862,15617.4337639
200,0.125472014321,0.124887164767,0.124025817907,0.70686025694,0.708608750393,0.710796348757,0.78348058591,0.784646699622,0.786959747728,16353.3329716
210,0.13130204196,0.129793802277,0.130116440555,0.696590529029,0.70034623859,0.699968523765,0.776525141284,0.779399837794,0.779657882571,17129.2483838
220,0.130165657213,0.128772360816,0.128603599775,0.696944657577,0.697277305634,0.700598048473,0.77486115171,0.775252672781,0.778254382693,17911.8225401
230,0.125183912194,0.124680345612,0.123785495585,0.703653426194,0.705854579792,0.708089392509,0.770272537327,0.772239824519,0.774695107138,18712.7869364
240,0.125951954267,0.125118624321,0.124081802384,0.70459776899,0.706641485678,0.708781869688,0.771610665774,0.773373860182,0.775850373098,19493.8203679
250,0.126516993592,0.124979081485,0.12500931961,0.703535383344,0.705775889204,0.706515580737,0.778998313412,0.780819508764,0.782006920415,20267.6464637
260,0.125141093958,0.124024221761,0.12378782242,0.702610714356,0.704438149197,0.705130626377,0.768811941759,0.770527859238,0.771579050034,21063.9590812
270,0.126179300641,0.125599100371,0.12468044511,0.700722028763,0.703100409191,0.704878816494,0.7667085851,0.768626970013,0.770511063247,21834.2547233
280,0.1253889589,0.124822792601,0.123739094381,0.704066576167,0.70656279509,0.709915014164,0.771196495391,0.773271721287,0.776202039825,22606.8317521
290,0.123846131126,0.122930630695,0.122771457783,0.709476873438,0.709553037457,0.712999685238,0.777508249085,0.777690778775,0.781206507655,23383.7899041
300,0.124937297092,0.124083959859,0.123673886667,0.706053630801,0.709474346868,0.711614730878,0.772473236176,0.775616871278,0.777955503853,24177.0964683
310,0.124648229515,0.123962048263,0.123628281773,0.705404395129,0.706641485678,0.70815234498,0.772445444046,0.773318740119,0.775300504071,24974.916568
320,0.123657047894,0.122540842466,0.12229843975,0.709968718645,0.711520302172,0.713314447592,0.778242426066,0.779581529582,0.781582733813,25777.0716146
330,0.123692610415,0.122710428143,0.122442339893,0.708945680615,0.709710418634,0.711425873466,0.775909600412,0.776654356118,0.778357992457,26603.2215853
340,0.124428798586,0.123580070485,0.123386412271,0.705561785595,0.706248032735,0.708718917218,0.771790179933,0.77230863068,0.775180992177,27438.8173285
