iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.244388983,0.245463992,0.245449829,0.433473017,0.430830973,0.429335851,0.423064594,0.416364076,0.419542806,6.802026921
10,0.244051313,0.245111307,0.24509223,0.434437034,0.431932641,0.429839471,0.425875257,0.419461198,0.421536693,48.825205
20,0.243890108,0.244880509,0.24494342,0.434791163,0.432562166,0.430091281,0.426624089,0.42057051,0.422234986,91.89620061
30,0.23993403,0.24051878,0.241041692,0.442365579,0.44255587,0.438149197,0.44388636,0.441236788,0.439701174,135.3407806
40,0.239593286,0.23997041,0.240582044,0.443959157,0.444444444,0.439282342,0.445964754,0.44400693,0.441602407,177.9068371
50,0.239686689,0.24006504,0.240652569,0.444411655,0.444287063,0.43871577,0.444597412,0.4419156,0.438892385,222.2927259
60,0.238428486,0.238826839,0.239323348,0.446477405,0.447198615,0.442492918,0.451677028,0.449839455,0.447811448,265.0981956
70,0.237916076,0.238288018,0.238791347,0.447441421,0.448457664,0.443626062,0.454259288,0.452721168,0.450441487,309.3694704
80,0.236273976,0.236575714,0.237061221,0.448543154,0.450424929,0.445073969,0.457182695,0.455735661,0.454416043,352.1347141
90,0.2353109,0.23578887,0.236008156,0.449723583,0.451526597,0.446836638,0.461556231,0.460192069,0.45922826,396.7411908
100,0.235132565,0.235581678,0.235823314,0.4498613,0.451526597,0.447088448,0.462198288,0.460943542,0.459939741,439.5196634
110,0.233629762,0.234160091,0.234286617,0.452576285,0.454831602,0.450173119,0.468735084,0.46822229,0.466463042,482.3482113
120,0.233553733,0.234118527,0.234227363,0.452320526,0.453572553,0.449606547,0.467296873,0.466092573,0.464572233,526.7543466
130,0.2324921,0.23308051,0.233105397,0.454130516,0.454752912,0.450991501,0.472108067,0.470138411,0.468328964,569.9279665
140,0.232575502,0.233523583,0.233239073,0.454760078,0.453651243,0.451117406,0.467017962,0.462241499,0.462751864,616.0570968
150,0.230579335,0.231499054,0.231069635,0.458104625,0.456798867,0.454894555,0.476469247,0.471803504,0.47281583,659.3647692
160,0.226831391,0.22769096,0.227111581,0.463711661,0.462464589,0.460182562,0.488775529,0.484725051,0.485139598,702.5762631
170,0.226261329,0.226955156,0.226561051,0.464931437,0.464195782,0.461063897,0.492072089,0.488775434,0.487825307,745.152885
180,0.224326626,0.224914267,0.224503873,0.469180979,0.469153289,0.466414857,0.498894935,0.495814649,0.496195911,788.2255684
190,0.222621747,0.223152268,0.222785954,0.472525527,0.473796034,0.471514007,0.505833564,0.504115684,0.50544919,830.731915
200,0.221594302,0.222180087,0.22171858,0.475811053,0.475212465,0.473339629,0.508721466,0.505156934,0.50712855,873.7556841
210,0.221261656,0.22175749,0.221357912,0.476165181,0.475212465,0.47466163,0.510497481,0.506986028,0.509896047,923.4402098
220,0.22059176,0.221220942,0.220617074,0.477975172,0.477415801,0.477053824,0.51615609,0.513586757,0.515993707,966.3385654
230,0.218072749,0.218777184,0.218056961,0.483837967,0.482137236,0.483726786,0.528451778,0.523633731,0.528813559,1011.080333
240,0.217659586,0.218353794,0.217493237,0.485529914,0.482924142,0.486181933,0.531362007,0.52559382,0.532852564,1053.669304
250,0.217610815,0.2182695,0.217492202,0.487635012,0.485127479,0.487566887,0.5310356,0.525491334,0.531321971,1098.071212
260,0.214685212,0.21509093,0.214444014,0.497826044,0.495199874,0.499150142,0.549131825,0.543448865,0.55096512,1140.709929
270,0.214620064,0.215027202,0.214364859,0.497845718,0.496065471,0.498394712,0.549491669,0.544653015,0.550744249,1185.976362
280,0.214259367,0.214637513,0.214013864,0.498396585,0.495750708,0.499338999,0.550842083,0.544886364,0.552775122,1229.710842
290,0.214461128,0.214816654,0.214270428,0.498435932,0.495829399,0.498583569,0.550972242,0.545118921,0.552049941,1274.743921
300,0.213819189,0.214137109,0.213613723,0.499360601,0.49732452,0.499527856,0.553287106,0.547848245,0.554372197,1317.580414
310,0.213821989,0.214126375,0.213617005,0.499498318,0.497639282,0.499338999,0.552946965,0.547747237,0.553578445,1362.760209
320,0.213772805,0.214068429,0.213664837,0.499478644,0.497245829,0.499338999,0.554736861,0.549404048,0.555176464,1405.508552
330,0.212263435,0.212724264,0.212295536,0.501957544,0.501652502,0.503116147,0.560648397,0.556605755,0.562448029,1448.21212
340,0.212060528,0.212521196,0.212078963,0.502173956,0.501652502,0.503745672,0.5611668,0.557039938,0.563534688,1493.238384
350,0.210714715,0.211097915,0.210749657,0.505675894,0.5066887,0.505571294,0.567523839,0.565166123,0.56808183,1535.790171
360,0.210024387,0.210352315,0.209987795,0.506935017,0.507790368,0.506956248,0.568684817,0.566197378,0.569244308,1579.839846
370,0.208428707,0.208603716,0.208186695,0.509886089,0.510780611,0.510544539,0.575358811,0.57286156,0.576501988,1622.763295
380,0.205111479,0.204999826,0.204874246,0.515906274,0.51864967,0.515769594,0.584540573,0.583509226,0.585023738,1665.395932
390,0.203624579,0.203437079,0.203228409,0.520687009,0.523292414,0.520553982,0.593848462,0.592821616,0.594289367,1710.063088
400,0.202208402,0.202048089,0.201779594,0.523756123,0.526046585,0.522505508,0.598563871,0.597204574,0.597804762,1753.314147
410,0.201646659,0.201499158,0.20120053,0.5249759,0.527148253,0.524016368,0.60040051,0.599319864,0.599883579,1798.550059
420,0.201529812,0.201380273,0.20100377,0.525054595,0.527384325,0.524645892,0.60067819,0.599866755,0.600793021,1842.547908
430,0.20137439,0.201193222,0.200876272,0.525330028,0.527069562,0.52483475,0.601331813,0.599973376,0.601520431,1887.901444
440,0.201197874,0.201081363,0.200679318,0.525566114,0.527305634,0.52483475,0.60244976,0.601155302,0.602402023,1931.522816
450,0.200097135,0.200077405,0.199706971,0.52802534,0.528249921,0.526660371,0.60570001,0.603269142,0.604866257,1974.054114
460,0.199930284,0.200106672,0.199721566,0.528143383,0.528171231,0.525401322,0.6060835,0.603596456,0.604189636,2018.001444
470,0.199564253,0.199703562,0.199330309,0.528930335,0.529036827,0.527101039,0.607526882,0.605132942,0.606577983,2061.044045
480,0.198985722,0.199168529,0.198718734,0.530130437,0.530059805,0.527541706,0.610194389,0.607569983,0.608604954,2103.480651
490,0.198693422,0.198895329,0.198448149,0.530110764,0.53068933,0.528611898,0.609470552,0.607579945,0.608940882,2146.419688
500,0.197836669,0.198054911,0.19754033,0.531035433,0.531240164,0.529493233,0.609786043,0.607601607,0.609182179,2188.779759
510,0.19748696,0.197756275,0.197245017,0.53190108,0.532184451,0.530311615,0.611092041,0.609010194,0.610696582,2232.781194
520,0.197253648,0.1975756,0.19696572,0.533002813,0.532184451,0.531759522,0.612121509,0.608752879,0.611957429,2275.50486
530,0.195729525,0.195864267,0.195417839,0.534871825,0.535096003,0.533962858,0.616338321,0.613805726,0.616524217,2318.536524
540,0.194114515,0.194089764,0.193663366,0.538432784,0.53745672,0.538558388,0.622260864,0.618559377,0.623716632,2362.078259
550,0.192124748,0.191941949,0.191627339,0.542072439,0.542099465,0.542902109,0.627440937,0.624604864,0.629521914,2405.519467
560,0.191210241,0.191404809,0.1918527,0.54584981,0.546584828,0.544224111,0.641084645,0.639243676,0.64090864,2449.093988
570,0.190050062,0.190096052,0.190760469,0.550178048,0.55075543,0.548190116,0.646494944,0.64476386,0.646400946,2491.683762
580,0.190591202,0.190721371,0.191291748,0.548269689,0.549968524,0.546679257,0.643545758,0.643031022,0.64388507,2534.133831
590,0.189344495,0.189400639,0.190155262,0.551574888,0.551148883,0.549638023,0.649289902,0.646373218,0.649382474,2576.885372
600,0.189292535,0.189328596,0.190151103,0.55163391,0.551306264,0.549512118,0.649395403,0.646541036,0.649353195,2620.221366
610,0.188518735,0.188504053,0.189352834,0.553463574,0.553194838,0.551652502,0.652009261,0.649246355,0.652314001,2662.639245
620,0.187542369,0.187523295,0.18821022,0.555332586,0.553903053,0.554422411,0.655057689,0.651545885,0.656474471,2705.17996
630,0.187514166,0.187446387,0.188159241,0.555489976,0.554453887,0.554422411,0.65467384,0.651526342,0.655806263,2748.344749
640,0.187691097,0.187770932,0.188568895,0.553719333,0.553666981,0.553037457,0.650735973,0.648444279,0.652131308,2791.136741
650,0.186945751,0.186906129,0.187767991,0.55566704,0.554689959,0.555492603,0.653513953,0.650571164,0.655409692,2833.975841
660,0.186887546,0.186843345,0.187704041,0.555726062,0.554926031,0.55568146,0.653629057,0.650864198,0.655740903,2878.91075
670,0.186332165,0.186144,0.186940277,0.558854197,0.557916273,0.558829084,0.657711154,0.654447041,0.659508308,2922.521631
680,0.186104066,0.18585701,0.186717862,0.559346043,0.558467107,0.559017941,0.658556663,0.65553441,0.660033972,2967.089079
690,0.185795036,0.185645246,0.186492585,0.560585493,0.559096632,0.559899276,0.659657143,0.656067767,0.660910899,3009.98591
700,0.184837518,0.184614603,0.185598606,0.5625332,0.560906516,0.561095373,0.662866153,0.65929906,0.663610923,3053.032786
710,0.184504591,0.184246306,0.185252697,0.563398847,0.562008184,0.561913755,0.664052802,0.660568362,0.66486877,3096.177659
720,0.183707377,0.183425803,0.18450837,0.565759704,0.563818067,0.563613472,0.667710466,0.663673321,0.667880414,3139.094062
730,0.182312671,0.182143834,0.182979176,0.567982844,0.567516525,0.565942713,0.667665532,0.664509828,0.667342114,3182.089788
740,0.182102034,0.181888827,0.182746425,0.568868166,0.567516525,0.566949953,0.668672513,0.665041443,0.668721406,3224.651771
750,0.181759048,0.181536666,0.182376662,0.569261642,0.568067359,0.568020145,0.669394781,0.666017645,0.669842186,3267.02242
760,0.181405206,0.181215179,0.182104715,0.569537075,0.568539503,0.568712622,0.668806006,0.665446336,0.669464949,3309.757125
770,0.181169965,0.180983796,0.181815019,0.569891204,0.569011646,0.569027384,0.669838106,0.666585499,0.670643702,3352.214595
780,0.180795776,0.180635493,0.181408679,0.570383049,0.56956248,0.568775574,0.67047941,0.667355874,0.67070474,3395.772521
790,0.180339155,0.180129071,0.180879533,0.572665211,0.572316651,0.571356626,0.673775588,0.671223761,0.67450643,3440.443237
800,0.180266076,0.180046284,0.180780462,0.57292097,0.572474032,0.571545483,0.674083416,0.671384504,0.674665392,3484.031302
810,0.179762422,0.179601557,0.180337207,0.573255425,0.571136292,0.57248977,0.672731936,0.669296117,0.673776241,3528.643773
820,0.179540339,0.179300546,0.180111972,0.574219442,0.572710104,0.572363865,0.675054803,0.671863669,0.6750849,3571.061231
830,0.17842166,0.178215564,0.179076905,0.574908025,0.573733082,0.573811772,0.674803967,0.671677071,0.67529976,3613.583976
840,0.175970335,0.175691236,0.176428888,0.582462767,0.581129997,0.580421782,0.684186247,0.681085615,0.683958462,3657.462618
850,0.175796839,0.175480229,0.176241812,0.583289067,0.582310356,0.581680831,0.685569229,0.682725643,0.685622368,3700.154811
860,0.174600568,0.174278206,0.17492757,0.585669598,0.585930123,0.585395027,0.687916778,0.686000716,0.689016904,3743.717667
870,0.174454682,0.173967028,0.174817478,0.585177753,0.585379289,0.585206169,0.687985557,0.685939083,0.689447141,3786.257108
880,0.172485538,0.17178317,0.172645558,0.591473372,0.592618823,0.591564369,0.69360955,0.692449355,0.695227358,3830.318751
890,0.172620012,0.171987951,0.172801755,0.590568376,0.591359773,0.590871892,0.692367958,0.691021598,0.69423665,3879.669782
900,0.172190906,0.171621855,0.172326115,0.592594779,0.593327038,0.593327038,0.694716358,0.693184517,0.696855936,3922.499152
910,0.1715189,0.170998755,0.171678193,0.595172047,0.597182877,0.59540447,0.697606066,0.697118514,0.699349768,3967.30377
920,0.170105019,0.16938142,0.170358834,0.598280509,0.599307523,0.596663519,0.702221056,0.700681872,0.702235442,4010.938661
930,0.169931885,0.169272533,0.170260776,0.597788664,0.598756689,0.597481901,0.700691028,0.699298225,0.701828017,4054.651164
940,0.169048205,0.168437872,0.16942736,0.60081843,0.6003305,0.599433428,0.70383021,0.701288008,0.704087802,4097.909991
