problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,SA,"['0.55']",96.0,4900,0.008749340999999999,4911.0
CONTPEAKS,RHC,"[]",99.0,4120,0.032360423,4131.0
CONTPEAKS,GA,"['100', '50', '30']",99.0,4290,0.307267279,271123.0
CONTPEAKS,MIMIC,"['100', '50', '0.7']",81.0,5000,39.657467895,551000.0
FLIPFLOP,SA,"['0.55']",791.0,3000,0.015656378999999998,3011.0
FLIPFLOP,RHC,"[]",782.0,2960,0.018887038000000002,2971.0
FLIPFLOP,GA,"['100', '30', '50']",586.0,1650,0.5156040620000001,95904.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",832.0,2630,2493.84383606,290300.0
NN,SA,"['/NN', 'SA', '0.5']",0.643554580362,500,2129.98993842,0
NN,RHC,"['/NN', 'RH']",0.6091821789999999,500,2188.779759,0
NN,Backprop,"['/NN', 'Backpro']",0.852512315271,460,8118.03969863,0
NN,GA,"['/NN', 'GA', '50', '20', '1']",0.822852369239,430,40955.5309339,0
TSP,SA,"['0.75']",0.0529371542791,3000,0.011758942997399999,3011.0
TSP,RHC,"[]",0.0554612032075,2980,0.00822087497727,2991.0
TSP,GA,"['100', '30', '10']",0.116582338177,2600,0.584223168997,95873.0
TSP,MIMIC,"['100', '50', '0.1']",0.0369363150617,2080,508.75005584800004,229800.0
